"Points:0","Points:1","Points:2","velocity_:0","velocity_:1","w_he"
0.00039386,-0.0031306,0,0.10836,-7.5017,0.81862
0.00018437,-0.0031803,0,0.076748,-10.768,0.90737
0.00028767,-0.003103,0,0.10542,-9.3863,0.86426
0.00029057,-0.0032079,0,0.10236,-9.2917,0.86173
0.013798,0.019105,0,0.00065761,-0.0042685,0.0005213
0.013727,0.018653,0,0.0007511,-0.0044389,0.00056524
0.013304,0.019026,0,0.0007645,-0.0041687,0.0005728
0.013762,0.018879,0,0.0007035,-0.0043542,0.00054327
0.013516,0.018839,0,0.000759,-0.0043051,0.00056902
0.013551,0.019065,0,0.00071226,-0.0042244,0.00054705
0.01554,0.0075363,0,0.0023676,-0.0127,0.0017613
0.015054,0.0079109,0,0.0028115,-0.012002,0.0019324
0.015601,0.0081415,0,0.002301,-0.012098,0.0016301
0.015297,0.0077236,0,0.0025938,-0.012378,0.0018469
0.015327,0.0080262,0,0.002555,-0.01209,0.0017813
0.01557,0.0078389,0,0.0023394,-0.012398,0.0016957
0.0075833,0.00076738,0,0.0023522,0.010163,0.014662
0.0073662,0.00093681,0,0.0035812,0.011406,0.015345
0.0076128,0.0010248,0,0.0035833,0.010421,0.014541
0.0074747,0.00085209,0,0.0029579,0.010789,0.015004
0.0074895,0.00098082,0,0.0035869,0.01092,0.014943
0.007598,0.00089611,0,0.0029764,0.010288,0.014602
0.013408,0.0026859,0,0.0014742,-0.014138,0.0041276
0.0132,0.0026116,0,0.0015139,-0.013615,0.0043433
0.013404,0.0024516,0,0.0011397,-0.014324,0.0041516
0.019576,0.01935,0,-9.2882e-05,-0.00075136,3.0919e-05
0.019538,0.019578,0,-9.9972e-05,-0.00079177,3.2567e-05
0.019336,0.019384,0,-0.00012951,-0.001135,4.8536e-05
0.0072332,-0.0089012,0,-0.018929,0.0039123,0.014318
0.0073946,-0.0091081,0,-0.018787,0.0028518,0.013619
0.0071914,-0.0090959,0,-0.019093,0.0038633,0.014504
0.0073139,-0.0090046,0,-0.018856,0.0033761,0.013968
0.007293,-0.009102,0,-0.018939,0.0033508,0.014061
0.0072123,-0.0089985,0,-0.019011,0.0038888,0.014411
0.016699,0.029624,0,-9.0273e-05,-0.00010634,9.2282e-05
0.016616,0.029829,0,-4.2278e-05,-4.6754e-05,9.4561e-05
0.016808,0.02982,0,-4.7524e-05,-4.9378e-05,8.8985e-05
0.016658,0.029727,0,-6.6684e-05,-7.6108e-05,9.3422e-05
0.016712,0.029824,0,-4.488e-05,-4.8067e-05,9.1773e-05
0.016754,0.029722,0,-6.9965e-05,-7.7435e-05,9.0633e-05
0.0053073,0.0043507,0,0.00030219,0.0031574,0.014205
0.0055159,0.0041998,0,0.0011119,0.0062503,0.014563
0.005292,0.0040342,0,0.00045507,0.0037715,0.015243
0.0054116,0.0042752,0,0.00062856,0.0046745,0.014384
0.0054039,0.004117,0,0.00077541,0.0051291,0.014903
0.0052996,0.0041925,0,0.00036257,0.0034085,0.014724
0.0087792,-0.0047451,0,-0.013991,0.00024415,0.00985
0.0087462,-0.0050305,0,-0.014324,0.00022979,0.00986
0.0085421,-0.004843,0,-0.014406,0.0012897,0.010398
0.0087627,-0.0048878,0,-0.014161,0.00023781,0.009855
0.0086441,-0.0049368,0,-0.014366,0.00075514,0.010129
0.0086606,-0.0047941,0,-0.014197,0.00076365,0.010124
0.0051777,-0.0037855,0,-0.020997,0.022343,0.026778
0.005061,-0.0036213,0,-0.0213,0.023205,0.027764
0.0052327,-0.0035368,0,-0.020328,0.021813,0.026202
0.0051194,-0.0037034,0,-0.021146,0.022777,0.027271
0.0051469,-0.0035791,0,-0.020807,0.0225,0.026983
0.0052052,-0.0036612,0,-0.020671,0.022079,0.02649
