"velocity:0","velocity:1","w_he"
0.00026777,-0.00040631,0.0010236
0.00021049,-0.00031667,0.0010267
0.00025707,-0.00040098,0.00098595
-0.0028306,-0.018532,0.0028256
-0.0032671,-0.018326,0.0030267
-0.0029354,-0.018156,0.0032104
-0.003045,-0.018441,0.0029261
-0.003111,-0.018255,0.0031186
-0.0028915,-0.018386,0.003018
0.00018804,-0.002355,0.00029714
0.00022121,-0.0024907,0.00031284
0.00024718,-0.0023381,0.00031674
0.00020432,-0.002423,0.00030499
0.00023421,-0.0024149,0.00031479
0.00021778,-0.002348,0.00030694
9.162e-05,-0.00011606,0.00037266
0.00013854,-0.00015671,0.00037086
0.00013951,-0.00016464,0.00037326
0.00011673,-0.00013957,0.00037176
0.00013932,-0.00016121,0.00037206
0.00011626,-0.00014164,0.00037296
0.00055052,-0.0022546,0.0004504
0.00060195,-0.0021952,0.00048464
0.00056181,-0.0021249,0.00045475
0.00057736,-0.0022272,0.00046752
0.0005817,-0.0021611,0.0004697
0.00055649,-0.0021895,0.00045258
0,0,0.015445
0.00012354,0.001888,0.01572
0.00010773,0.0017939,0.01519
4.8481e-05,-6.7718e-05,0.00037679
4.6309e-05,-6.4518e-05,0.00037399
9.7724e-05,-0.00012535,0.00037513
4.74e-05,-6.6151e-05,0.00037539
7.2567e-05,-9.6676e-05,0.00037456
7.3746e-05,-9.8728e-05,0.00037596
0.00013847,-0.00017328,0.00037975
0.00017596,-0.00021395,0.00038131
0.00012952,-0.0001674,0.00038485
0.00015753,-0.00019405,0.00038053
0.00015356,-0.00019256,0.00038308
0.00013415,-0.00017077,0.0003823
-0.019988,0.0214,0.025481
-0.020149,0.021914,0.026039
-0.020479,0.022159,0.026323
0.0088994,0.013531,0.019184
0.010542,0.013975,0.020201
0.0075223,0.010319,0.019756
0.0097845,0.013747,0.019692
0.0092177,0.01236,0.019978
0.0082948,0.012091,0.01947
-0.02376,0.023023,0.031393
-0.024143,0.023968,0.03269
-0.02378,0.022915,0.031499
-0.00018959,-0.00019604,5.9498e-05
-0.00018521,-0.00019204,6.1965e-05
-0.00020415,-0.00022105,6.061e-05
-5.5436e-05,-0.001526,0.00020027
-6.2542e-05,-0.0013928,0.00019493
-9.5325e-05,-0.0014628,0.00018763
-5.9227e-05,-0.0014594,0.0001976
-7.9112e-05,-0.0014284,0.00019128
-7.5629e-05,-0.0014948,0.00019395
0.0019194,0.001807,0.0041485
0.0014629,0.0019284,0.0042361
0.001749,0.0013906,0.0037961
0.0016903,0.0018933,0.0041923
0.0016125,0.0016808,0.0040161
0.0018316,0.0015927,0.0039723
0.00060025,-0.0048066,0.00050795
0.00055273,-0.0046898,0.00048738
0.00052925,-0.0047908,0.0004791
-0.29171,0.051981,0.28993
-0.22586,0.026139,0.22429
-0.25951,0.043429,0.2286
-0.25926,0.039684,0.25711
-0.24856,0.03599,0.22645
-0.27682,0.04952,0.25926
-0.019353,0.0017003,0.013684
-0.019594,0.0028521,0.01463
-0.019206,0.002006,0.013669
-0.019472,0.0022668,0.014157
-0.019399,0.002424,0.014149
-0.019279,0.0018542,0.013677
-5.1532e-05,-4.8802e-05,8.4217e-05
-5.2875e-05,-4.7356e-05,7.8143e-05
-0.00010315,-0.00010395,8.0525e-05
-5.2244e-05,-4.808e-05,8.118e-05
-7.9187e-05,-7.5273e-05,7.9334e-05
-7.7883e-05,-7.6069e-05,8.2371e-05
0.038751,-5.0633,0.57531
0.029004,-3.5047,0.50394
0.038017,-5.0521,0.5729
0.035339,-4.2694,0.53962
0.034993,-4.2686,0.53842
0.038373,-5.0577,0.5741
-0.015874,-0.0078947,0.0058429
-0.015324,-0.0082134,0.0054897
-0.015731,-0.0082064,0.005535
-0.0156,-0.0080549,0.0056663
-0.015524,-0.0082069,0.0055123
-0.015802,-0.0080594,0.0056889
0.0060022,0.011235,0.018481
0.0039769,0.0061877,0.019144
0.0068113,0.010804,0.019118
0.0058905,0.0084699,0.01945
0.0050997,0.0090984,0.018812
0.0031558,-0.00079309,0.0032502
0.0030406,-0.00032694,0.0033795
0.0032758,-0.00061687,0.0034031
0.025349,-5.5051,0.55975
0.024646,-5.5239,0.55784
0.014778,-6.2633,0.58239
0.024993,-5.5147,0.5588
0.020406,-5.938,0.57012
0.020921,-5.9346,0.57107
-0.018659,0.003149,0.013585
-0.018819,0.0036142,0.014012
-0.018749,0.0030839,0.01366
0.02404,-0.010586,0.039854
0.020093,-0.010925,0.040826
0.030219,-0.010469,0.041255
0.0045616,0.0050329,0.020364
0.0086039,0.010045,0.020975
0.0053132,0.0053172,0.022078
0.0068097,0.0078096,0.02067
0.0071781,0.0077091,0.021527
0.0049227,0.005077,0.021221
0.0061535,-0.0018553,0.0052621
0.0059252,-0.0019001,0.0049963
0.0059815,-0.0034818,0.0048422
0.0060429,-0.0018732,0.0051292
0.005975,-0.0026712,0.0049192
0.0060756,-0.0026758,0.0050522
-0.018853,0.020753,0.024833
-0.019501,0.021183,0.025254
-0.019876,0.02223,0.026418
-0.019184,0.020968,0.025043
-0.019684,0.021708,0.025836
-0.019355,0.021481,0.025625
-0.0018463,-11.578,0.99908
0.0049191,-14.518,0.99911
0.00023654,-12.86,0.9991
-0.00028939,-13.205,0.9991
0.0035828,-13.746,0.9991
-0.00093424,-12.24,0.99909
-0.013097,0.016956,0.04214
-0.012787,0.018645,0.040169
-0.016593,0.018686,0.042903
-0.012942,0.01786,0.041155
-0.014609,0.01866,0.041536
-0.014871,0.0178,0.042522
0.0097447,0.012216,0.020588
0.0081268,0.010106,0.020365
-0.0020146,-0.01528,0.0013782
-0.002613,-0.016245,0.0016282
-0.0024593,-0.016541,0.0016474
-0.0023054,-0.015809,0.0015032
-0.0025387,-0.016397,0.0016378
-0.0022374,-0.015956,0.0015128
-0.019219,0.0036813,0.014551
-0.019029,0.0033465,0.014143
-0.01918,0.00386,0.014589
0.004374,-0.0062797,0.0064013
0.0046007,-0.006192,0.0063316
0.0042194,-0.0071095,0.0061516
0.00014574,-0.0004501,0.00023551
0.00015734,-0.00040608,0.00024148
0.00013062,-0.00037833,0.00023311
0.00015198,-0.0004279,0.00023849
0.00014387,-0.0003923,0.0002373
0.00013836,-0.00041402,0.00023431
-0.00026471,-0.00038503,7.3023e-05
-0.00025398,-0.00035426,7.3288e-05
-0.00025614,-0.00037217,7.6764e-05
0.12672,-10.047,0.91246
0.14076,-9.766,0.9134
0.11805,-6.5089,0.8133
0.13351,-9.9113,0.91293
0.13788,-8.1575,0.86335
0.13288,-8.3564,0.86288
0,0,0.018158
0.0024406,0.0067165,0.018149
0,0,0.018825
0.0010998,0.0040126,0.018154
0.0015465,0.0041437,0.018487
0,0,0.018492
-0.006749,-0.0084021,0.0019168
-0.0073203,-0.0077279,0.0019527
-0.0077296,-0.008478,0.0021193
-0.0070228,-0.0080663,0.0019347
-0.0075242,-0.0081126,0.002036
-0.0072355,-0.0084441,0.002018
0.0061864,-0.0030875,0.006537
0.0059983,-0.0035722,0.0065081
0.0062712,-0.0024685,0.0067612
6.8748e-05,-0.0042499,0.00028836
-2.486e-05,-0.0038365,0.00023693
0.00010585,-0.0044822,0.00030794
1.9514e-05,-0.0040628,0.00026265
3.5181e-05,-0.0041718,0.00027243
8.7055e-05,-0.004365,0.00029815
-0.016609,0.0064988,0.013602
-0.016806,0.0063275,0.013586
-0.017063,0.0076387,0.014426
-0.016709,0.006414,0.013594
-0.016932,0.0069773,0.014006
-0.016834,0.0070636,0.014014
0.0030593,-0.012762,0.0022087
0.0030394,-0.012538,0.0021456
0.0027945,-0.01297,0.0020518
0.00038139,-0.00039645,0.00035876
0.00040139,-0.00043516,0.00035953
0.00039933,-0.00043603,0.00036488
0.00039166,-0.00041568,0.00035914
0.0004009,-0.00043599,0.0003622
0.00039124,-0.0004169,0.00036182
0.00263,0.012126,0.015919
0.0031825,0.012269,0.015896
0.0025284,0.01163,0.015536
0.0045312,-0.002146,0.0079103
0.0053076,9.1811e-05,0.0084995
0.0052173,-0.0016921,0.00782
0.004917,-0.0010367,0.0082049
0.0052639,-0.00080664,0.0081598
0.0048887,-0.0019161,0.0078652
0.00059048,-0.0023591,0.00047811
0.00059677,-0.0022769,0.00048138
0.00057011,-0.0023075,0.00046426
-0.01892,0.0025648,0.013609
-0.019068,0.0031147,0.01408
-0.018879,0.0027905,0.013672
-0.0002176,-0.00027802,7.7017e-05
0.00028323,-0.0024936,0.00033507
0.00025236,-0.0024937,0.00032395
0.00026479,-0.002416,0.00032591
0.00054618,-0.0011611,0.00043989
0.00053954,-0.0011707,0.00041916
0.00055138,-0.0012524,0.00043739
0.00054361,-0.0011673,0.00042953
0.00054534,-0.0012118,0.00042828
0.00054925,-0.0012064,0.00043864
-0.0035235,0.0032502,0.011306
-0.0037093,0.0025053,0.010973
-0.0040266,0.0030831,0.011252
-0.0021093,-0.008041,0.0069087
-0.0024574,-0.0089054,0.006645
-0.0019276,-0.0086755,0.0066952
-0.0061908,-0.007556,0.0017306
-0.0067502,-0.0076465,0.0018416
-0.0064695,-0.0079892,0.0018237
-0.016869,-0.0086036,0.0052658
-0.016951,-0.0085404,0.0054084
-0.017212,-0.0085707,0.005468
0.0016653,-0.0022735,0.0015588
0.0016183,-0.0023163,0.0015034
0.0017057,-0.0025102,0.0015121
-0.00019168,-0.0010379,5.017e-05
-0.000197,-0.00099772,4.9072e-05
-0.00014481,-0.00069011,3.1827e-05
-0.00019434,-0.0010179,4.9621e-05
-0.00017309,-0.00084985,4.0449e-05
-0.00017052,-0.00086471,4.0998e-05
0.027942,-3.4186,0.49929
0.028469,-3.4615,0.50161
0.03446,-4.2183,0.53609
0.00046072,-0.00087281,0.00034098
0.00045966,-0.00080515,0.00034068
0.00046854,-0.00085825,0.00034538
0.00046774,-0.00082471,0.00034523
0.00046045,-0.00083861,0.00034083
0.010048,0.017294,0.015909
0.0093412,0.017093,0.016147
0.0089837,0.016681,0.015135
0.009751,0.017261,0.016028
0.0091482,0.01693,0.015641
0.009526,0.017018,0.015522
-0.024788,-0.00042822,0.022208
-0.024483,0.00023654,0.022087
-0.024437,-0.00091205,0.020773
-0.024634,-9.3647e-05,0.022148
-0.024459,-0.00034863,0.02143
-0.024612,-0.00067362,0.021491
-0.023273,0.00015622,0.019089
-0.023535,-0.00036336,0.019184
-0.023597,0.00069151,0.020313
-0.023403,-0.00010182,0.019137
-0.023565,0.00015512,0.019749
-0.023435,0.00042025,0.019701
